City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
sibu,BR,-15.92,-46.11,71.78000000000003,79,14,1.91
pleasant point,RU,58.81,41.05,37.47199999999998,75,99,4.95
gat,KR,37.57,126.98,56.31800000000004,47,1,2.1
olga,MY,5.41,100.34,82.56200000000007,74,20,3.1
cabo san lucas,US,35.2,-111.65,47.76800000000003,42,20,3.6
nizhneyansk,CN,38.42,77.24,56.13799999999998,20,92,2.02
port elizabeth,GA,-1.57,9.26,79.24999999999994,86,72,1.64
hilo,MU,-20.41,57.7,76.60399999999998,78,40,4.6
tasiilaq,VE,10.67,-63.26,75.19999999999999,83,17,2.38
golden,US,21.32,-158.01,80.34800000000001,54,20,6.2
kizhinga,TR,39.66,35.88,38.894000000000005,36,0,1.26
hambantota,PG,-2.57,150.8,84.50600000000003,72,100,2.33
castle bruce,MR,20.52,-13.05,83.31800000000004,17,80,3.35
amderma,NO,70.86,29.09,33.99799999999999,89,99,8.75
arinos,GL,72.79,-56.15,28.02199999999999,96,99,3.1
vokhtoga,AU,-42.78,147.06,60.11599999999993,55,20,7.2
seoul,RU,53.51,142.97,31.819999999999993,96,33,2.47
georgetown,CL,-37.62,-73.65,53.797999999999945,74,69,5.34
flagstaff,MX,19.93,-105.25,82.57999999999998,33,100,5.36
shache,MG,-15.72,46.32,75.19999999999999,78,20,2.6
omboue,ID,-3.8,102.27,79.57400000000001,79,85,2.19
mahebourg,UZ,40.56,65.69,49.99999999999994,100,36,2.6
carupano,MV,3.78,72.97,85.71200000000005,66,81,3.05
ewa beach,GL,60.72,-46.03,30.199999999999932,86,75,1.18
akdagmadeni,RE,-20.94,55.29,66.97399999999999,73,21,6.7
kavieng,RU,56.21,89.53,37.813999999999965,70,99,1.53
atar,GL,60.92,-46.05,30.199999999999932,86,66,0.32
berlevag,RU,59.7,30.79,29.64199999999994,86,22,2.0
upernavik,TM,38.78,63.88,53.599999999999966,50,75,7.2
new norfolk,ZA,-33.96,22.46,53.599999999999966,76,0,2.6
ekhabi,MY,3.17,113.03,81.06800000000004,79,75,2.1
lebu,BR,-22.97,-42.03,74.37200000000001,69,26,6.45
tsihombe,NO,61.99,5.14,34.24999999999994,86,85,3.1
tomatlan,ES,40.39,-5.76,50.41399999999999,93,18,0.76
mahajanga,US,64.84,-147.72,40.153999999999996,80,90,5.1
bengkulu,US,55.34,-131.65,45.68000000000001,87,90,5.1
nurota,MU,-20.34,57.76,76.53199999999998,78,40,4.6
mahibadhoo,UA,47.44,29.56,46.25599999999997,57,96,6.91
qaqortoq,BR,-21.64,-41.05,72.89600000000002,71,5,3.92
le port,FR,48.42,1.5,40.99999999999994,60,0,7.2
bogotol,CV,14.9,-24.5,73.36399999999998,76,91,5.41
narsaq,LA,18.24,104.21,66.38000000000005,65,57,1.46
ruatoria,ZA,-33.59,26.89,58.99999999999994,84,66,2.24
nikolskoye,JP,34.98,139.87,57.02000000000004,44,20,8.2
sayat,AU,-28.77,114.6,73.39999999999992,60,19,7.7
george,US,60.55,-151.26,40.98199999999997,86,90,1.5
bintulu,BR,-8.9,-35.15,79.77199999999999,72,48,3.27
arraial do cabo,PF,-16.48,-151.75,83.28199999999998,69,46,3.59
raudeberg,RU,69.38,178.42,11.749999999999943,89,31,1.23
bejar,AU,-31.95,141.43,71.59999999999997,28,0,4.6
fairbanks,PL,52.18,21.57,32.05400000000003,68,32,2.1
ketchikan,CD,-6.13,24.48,69.11599999999993,74,100,0.28
bambous virieux,RU,66.66,66.42,14.629999999999995,94,85,4.41
mayaky,MW,-15.81,35.65,65.714,74,28,0.62
sao joao da barra,CN,32.68,109.02,55.00399999999996,40,76,7.15
chartres,MU,-20.01,57.66,76.37000000000006,78,40,4.6
sao filipe,US,57.05,-135.33,44.599999999999966,100,90,3.6
saleaula,RU,54.37,81.9,35.960000000000036,91,100,2.74
ban nahin,US,45.02,-93.22,28.813999999999965,46,40,7.2
port alfred,ID,-0.91,122.88,81.464,70,94,1.44
tateyama,RU,59.38,143.3,26.563999999999965,95,82,0.72
geraldton,BR,-9.67,-35.74,76.99999999999994,88,24,1.0
deh rawud,TZ,-6.82,30.44,71.59999999999997,67,100,1.44
kenai,AR,-45.87,-67.5,57.19999999999999,50,0,5.7
sao jose da coroa grande,PR,18.43,-65.83,78.02600000000001,83,40,3.6
faanui,VU,-13.88,167.55,82.39999999999992,88,90,8.42
leningradskiy,PT,32.67,-17.1,56.641999999999996,63,75,5.7
broken hill,AU,-34.73,135.87,70.988,39,41,4.83
minsk mazowiecki,US,31.42,-103.49,60.9260000000001,29,1,6.2
kabinda,PF,-16.7,-151.02,83.73200000000003,65,37,2.51
labytnangi,BR,-14.74,-50.57,78.15199999999999,71,23,0.52
phalombe,US,34.64,-120.46,57.25399999999996,76,90,2.6
ankang,LR,4.38,-7.72,80.762,83,89,2.83
grand gaube,RU,61.15,149.63,21.34400000000005,87,96,1.34
sitka,NZ,-36.83,175.7,62.00600000000003,70,55,6.26
ordynskoye,KI,3.07,172.79,83.13799999999998,79,100,7.1
saint anthony,AO,-15.2,12.15,75.32600000000008,71,22,2.16
biak,CA,70.47,-68.59,10.399999999999977,85,90,6.2
okhotsk,PG,-3.67,152.43,84.61399999999998,72,82,2.43
maceio,VE,11.66,-70.22,79.80799999999994,76,18,12.96
karema,ES,28.66,-17.92,62.599999999999966,67,6,3.1
barawe,US,40.6,-124.16,60.42199999999997,66,20,7.2
comodoro rivadavia,CO,7.24,-76.44,76.19,81,96,0.5
vieques,RU,64.57,143.2,24.583999999999946,87,100,1.84
sola,GL,68.82,-51.19,28.399999999999977,92,99,5.7
ponta do sol,JP,32.69,128.84,60.80000000000001,44,20,4.6
port lincoln,BB,13.22,-59.52,78.80000000000001,74,20,5.1
pecos,RU,69.42,30.81,33.799999999999955,86,95,8.7
fare,CN,37.36,120.4,58.87399999999997,34,18,2.32
mozarlandia,TM,38.05,58.21,48.19999999999993,81,90,2.1
kazalinsk,NZ,-41.41,175.52,56.47999999999996,44,62,3.6
lompoc,AU,-38.27,141.97,61.93399999999991,43,89,5.25
harper,BW,-25.27,23.28,76.04599999999999,26,65,4.25
ust-omchug,PE,-10.07,-78.15,73.166,76,36,3.28
whitianga,IR,35.31,46.99,40.549999999999955,48,1,1.6
butaritari,PE,-13.7,-76.22,69.80000000000001,83,78,3.6
namibe,AU,-17.0,145.43,83.83999999999997,55,40,7.2
clyde river,ID,-0.89,119.87,82.39999999999992,68,72,0.67
namatanai,NO,67.67,12.69,34.23199999999997,83,100,5.09
punta cardon,PK,30.37,68.6,65.58800000000002,27,57,0.24
los llanos de aridane,PA,9.55,-79.65,79.43,83,40,1.5
meyungs,CO,10.99,-74.95,80.59999999999997,78,3,4.1
fortuna,PT,39.05,-27.98,60.27800000000008,81,100,6.39
mutata,GF,5.38,-52.95,78.656,75,80,4.83
ozgon,GB,51.41,-0.84,38.02999999999997,69,3,3.1
ust-nera,AR,-34.62,-68.33,61.01600000000002,36,2,3.16
qasigiannguit,ZA,-28.78,32.04,74.69599999999997,89,98,2.78
fukue,NA,-18.06,13.84,69.09800000000001,42,46,0.89
bathsheba,ES,39.89,4.27,57.19999999999999,93,0,1.0
umzimvubu,SB,-8.14,159.59,85.406,74,92,4.13
zapolyarnyy,MX,30.48,-115.95,61.178000000000054,71,4,8.39
zhaoyuan,LY,31.67,20.25,65.04799999999994,40,7,6.7
buzmeyin,RU,60.47,166.1,15.27800000000002,91,1,3.37
marcona,AO,-8.84,13.23,78.80000000000001,94,75,2.1
waipawa,GB,50.86,0.57,41.233999999999924,65,4,6.7
codrington,OM,22.57,59.53,81.37399999999997,44,44,2.42
werda,RO,44.37,25.84,52.69999999999999,66,90,1.0
huarmey,SB,-8.77,160.7,84.68599999999998,72,97,1.92
sanandaj,RU,45.46,41.97,38.19199999999995,34,0,3.0
pisco,RU,55.7,61.55,30.199999999999932,100,75,2.0
mareeba,CA,50.26,-119.27,53.88799999999998,16,75,0.92
palu,BR,-14.28,-39.0,76.99999999999994,94,75,1.0
sorland,US,39.18,-84.53,41.59400000000005,60,90,2.1
loralai,CN,24.52,103.77,51.26000000000005,53,82,1.62
portobelo,ID,3.1,98.49,78.80000000000001,100,40,2.6
puerto colombia,MX,23.77,-98.22,75.9919999999999,81,31,1.79
lagoa,US,20.89,-156.47,78.56599999999997,61,40,5.1
sinnamary,RU,56.34,114.88,33.63799999999998,63,0,0.58
wokingham,RU,57.82,114.0,36.62600000000003,69,26,0.7
san rafael,CA,65.28,-126.83,39.19999999999993,44,90,2.6
richards bay,ZA,-33.01,17.94,55.39999999999992,87,0,1.5
opuwo,NO,69.39,20.27,31.999999999999943,93,20,4.6
mao,MG,-14.27,50.17,74.12000000000006,90,98,3.07
buala,MR,20.5,-10.07,78.67399999999992,20,59,4.49
denau,CN,33.77,120.25,53.491999999999905,60,100,3.76
san quintin,CN,39.45,75.98,62.599999999999966,11,40,4.0
suluq,US,41.28,-70.1,55.47200000000004,93,90,14.4
tilichiki,CN,37.34,111.21,52.96999999999997,24,75,2.15
luanda,BR,-30.18,-50.21,70.71800000000002,81,52,8.97
hastings,US,44.9,-89.77,27.896000000000015,79,75,6.7
sur,AU,-35.72,150.18,68.98999999999995,62,3,0.89
buturugeni,KE,-1.78,37.63,66.00200000000001,69,95,0.82
auki,AU,-34.58,150.86,71.31200000000007,43,0,4.6
donskoye,CN,36.62,101.77,45.139999999999986,21,13,1.1
kunashak,RU,63.01,112.47,34.06999999999999,87,100,2.53
vernon,RU,63.9,122.76,21.470000000000027,90,0,1.53
itacare,RU,63.05,179.32,22.639999999999986,95,100,1.51
hamilton,SO,9.49,50.81,80.78000000000003,72,73,2.43
zhongshu,ID,4.14,96.13,79.44800000000004,83,100,1.2
kabanjahe,AU,-22.0,148.05,77.79199999999997,49,1,8.02
soto la marina,MX,21.28,-89.67,85.15400000000005,66,20,3.6
kahului,BR,-8.26,-49.26,75.488,87,94,0.77
taksimo,US,41.14,-73.36,58.910000000000025,93,90,3.6
mamakan,UA,49.15,23.03,33.00799999999998,85,99,4.12
norman wells,SS,9.53,31.66,83.012,13,99,2.46
saldanha,CO,4.71,-74.23,57.19999999999999,87,40,1.0
skibotn,NO,71.04,27.85,32.360000000000014,92,96,7.77
sambava,RE,-21.37,55.62,66.97399999999999,78,8,3.1
adrar,RU,52.03,80.38,38.210000000000036,83,0,0.39
hede,CN,27.73,112.53,62.00600000000003,59,94,1.83
kashi,AU,-33.87,121.9,67.99999999999994,77,75,3.6
nantucket,CA,50.7,-127.42,58.99999999999994,38,75,6.2
ningxiang,MU,-20.52,57.52,76.53199999999998,78,40,4.6
cidreira,US,37.1,-113.58,59.46800000000002,15,1,7.7
marathon,JP,33.28,134.15,58.99999999999994,41,20,8.7
batemans bay,US,33.21,-92.67,51.81800000000004,71,75,2.6
wote,CD,-0.22,20.87,74.82199999999995,77,97,0.29
flinders,PG,-5.55,150.14,85.91000000000003,73,99,0.52
sorvag,RU,69.49,88.4,8.599999999999966,84,20,10.0
xining,BR,-29.68,-53.81,73.39999999999992,49,75,3.1
chernyshevskiy,PT,33.08,-16.33,59.52199999999999,77,40,6.7
kysyl-syr,US,45.52,-122.68,64.43599999999998,20,20,4.6
beringovskiy,ID,-8.47,140.33,82.77800000000008,80,28,5.9
bandarbeyla,CL,-27.37,-70.33,58.99999999999994,82,20,2.6
meulaboh,SA,17.49,44.13,73.39999999999992,53,71,1.94
moranbah,IN,28.17,94.77,65.96599999999995,51,0,1.77
progreso,BW,-18.37,21.85,69.33199999999994,47,51,0.46
conceicao do araguaia,GH,4.87,-2.24,81.28399999999993,84,79,3.01
westport,ID,5.89,95.32,83.06599999999997,74,99,2.57
turka,RU,66.83,70.83,12.470000000000027,96,28,4.78
malakal,VE,7.77,-72.22,71.11399999999998,54,74,0.68
mosquera,TD,11.03,20.28,84.632,13,74,2.42
mehamn,RU,69.2,33.45,30.199999999999932,92,75,2.0
karaul,CA,60.82,-115.8,30.199999999999932,54,75,3.1
saint-joseph,US,45.66,-68.71,52.664000000000044,93,90,3.6
volchikha,BR,-20.44,-53.76,73.54400000000004,73,17,2.53
xiangxiang,PH,12.18,125.51,82.63399999999996,68,57,4.33
esperance,AU,-41.07,145.92,58.99999999999994,76,78,3.13
port hardy,ML,22.68,-3.98,88.01600000000002,18,97,3.46
souillac,FI,64.08,24.55,29.55200000000002,93,24,0.45
saint george,BR,-24.11,-49.33,62.99600000000004,99,32,1.34
muroto,JP,43.32,145.57,35.599999999999966,59,75,7.2
el dorado,TZ,-8.7,34.38,65.46200000000005,61,98,2.69
boende,SO,11.28,49.18,82.77800000000008,66,49,3.04
kimbe,PR,18.38,-65.96,78.04400000000004,83,40,3.6
samusu,BR,-21.25,-45.0,61.627999999999986,71,22,2.3
talnakh,RU,71.97,102.5,12.541999999999973,95,91,4.1
santa maria,RU,54.79,65.99,36.68000000000001,76,28,4.13
camacha,CG,-4.76,11.86,79.79000000000002,87,74,1.84
portland,RU,60.75,42.05,35.61800000000005,81,100,4.93
merauke,MV,6.62,73.07,85.22600000000006,61,66,2.04
copiapo,CA,66.15,-65.71,12.199999999999932,92,100,2.12
najran,GB,60.4,-1.35,42.799999999999955,75,100,7.7
along,RU,64.75,177.48,17.25799999999998,85,75,2.0
shakawe,MN,49.03,104.08,29.26400000000001,55,84,2.68
axim,MX,19.22,-104.7,75.19999999999999,78,40,5.71
sabang,IR,32.87,59.22,48.19999999999993,100,90,3.1
yar-sale,RU,65.58,-171.0,29.696000000000026,96,74,2.35
san cristobal,RU,71.92,114.08,17.347999999999956,96,100,3.41
am timan,ID,1.17,108.97,76.49600000000004,84,26,3.7
polyarnyy,CN,36.19,117.66,59.27000000000004,45,96,2.66
hay river,CA,68.22,-135.01,30.199999999999932,92,90,3.6
millinocket,IS,64.25,-15.21,40.406000000000006,71,71,11.48
ribas do rio pardo,MX,21.65,-101.5,75.14600000000002,8,69,7.6
san policarpo,TZ,-2.63,31.31,62.94199999999995,63,100,0.61
burnie,IS,66.04,-17.34,42.799999999999955,45,75,21.1
taoudenni,CN,40.28,97.2,54.589999999999975,18,56,1.14
ylivieska,GL,68.31,-53.46,28.54400000000004,96,100,14.31
itarare,MN,47.91,106.88,30.199999999999932,68,40,7.0
nemuro,RU,60.42,134.53,33.331999999999994,84,100,4.18
rujewa,AR,-26.62,-54.13,62.92399999999992,87,95,2.25
bosaso,NZ,-45.42,167.72,44.365999999999985,62,70,2.6
carolina,RU,61.36,63.58,37.76000000000005,94,100,3.86
lavras,NU,-19.06,-169.92,84.19999999999999,70,75,7.2
khatanga,US,42.42,-122.83,68.21599999999995,15,1,1.62
polovinnoye,TM,37.5,61.97,53.599999999999966,54,90,5.1
loandjili,KZ,53.88,67.42,39.79400000000004,78,82,4.21
verkhovazhye,MY,1.55,110.33,81.24799999999999,88,20,2.1
kulhudhuffushi,IN,11.67,92.75,83.012,64,99,1.51
pangnirtung,RU,52.68,55.69,30.95599999999996,88,61,4.85
brae,NO,70.37,31.11,34.214,91,100,8.41
anadyr,US,29.7,-91.21,68.01800000000009,77,1,3.6
grand river south east,IN,28.07,95.33,71.09600000000006,55,0,1.29
erdenet,BR,-2.92,-39.92,77.50399999999996,86,96,1.77
san patricio,NP,29.27,82.18,48.36200000000002,27,84,1.35
birjand,RU,52.52,99.83,22.49599999999998,65,0,0.49
lavrentiya,BR,-31.33,-54.11,60.99799999999999,74,97,4.02
saskylakh,BR,-15.86,-38.88,73.39999999999992,94,75,2.1
pemangkat,OM,22.93,57.53,77.16199999999998,38,98,0.2
sindand,BR,-16.19,-55.97,78.80000000000001,69,75,3.6
warqla,SO,5.35,48.53,83.83999999999997,78,51,5.94
laiwu,FR,42.67,9.33,56.30000000000001,93,90,1.5
aflu,JP,26.12,127.67,65.30000000000001,52,75,4.1
aklavik,ID,0.8,127.4,84.38000000000005,70,99,1.73
hofn,CN,30.63,117.85,55.994000000000085,61,99,1.44
ocampo,RU,69.7,170.31,7.015999999999963,91,22,1.7
biharamulo,RU,41.78,47.59,29.533999999999935,39,0,2.31
husavik,AU,-28.87,153.57,75.632,47,6,2.6
yumen,US,42.25,-85.0,36.049999999999955,43,75,7.2
kangaatsiaq,KM,-11.38,43.28,83.38999999999993,76,100,3.29
ulaanbaatar,ID,1.45,125.18,85.99999999999994,70,40,1.0
ust-maya,PH,16.36,119.86,80.67199999999997,72,35,5.66
san vicente,GY,3.38,-59.8,83.2100000000001,49,86,4.79
te anau,RU,68.05,39.51,31.65799999999996,97,95,7.12
sovetskiy,RU,53.13,132.9,30.79400000000004,66,1,2.35
alofi,QA,25.29,51.53,69.512,88,20,3.1
jackson,RU,61.07,50.1,26.852000000000032,97,37,1.17
murgab,BS,26.54,-77.06,77.70200000000006,85,88,6.22
yanchukan,JP,34.69,135.8,53.88799999999998,41,40,5.7
sergeyevka,US,21.35,-158.09,80.06,78,75,2.6
kuching,NO,69.65,18.96,31.49599999999998,93,20,4.6
port blair,BW,-21.53,21.93,74.87600000000003,30,86,3.91
mayachnyy,IS,65.97,-18.53,42.799999999999955,45,75,21.1
vardo,RU,67.68,53.15,13.999999999999943,95,98,4.28
morgan city,ID,1.74,98.78,77.84600000000006,81,100,2.42
pasighat,JP,26.18,127.76,65.17399999999992,55,75,4.1
itarema,AU,-20.74,116.85,84.14600000000002,59,28,2.78
jumla,PG,-6.22,155.63,87.72800000000001,63,73,1.85
orlik,LR,6.3,-10.8,80.99600000000004,83,67,2.92
labutta,NG,7.38,8.57,83.19199999999995,56,47,3.3
bage,AO,-12.78,15.74,58.891999999999996,58,87,0.87
belmonte,PG,-10.62,150.67,83.38999999999993,71,99,3.48
uwayl,CD,-2.95,25.95,70.71800000000002,85,99,0.84
nizwa,RU,41.54,47.42,39.19999999999993,86,40,1.0
barao de melgaco,ID,-8.65,115.22,84.19999999999999,89,20,1.0
hobyo,ID,-1.27,104.08,78.90799999999996,87,99,0.75
bastia,CA,51.26,-80.61,17.599999999999966,85,90,10.3
lolua,BR,2.82,-60.67,84.19999999999999,48,82,3.6
itoman,MG,-25.17,45.05,73.56200000000007,69,0,1.79
ternate,RU,64.38,-173.3,31.999999999999943,95,90,1.0
rongcheng,CU,22.81,-80.08,82.39999999999992,83,20,4.1
pevek,AU,-37.88,147.98,62.99600000000004,73,52,1.79
tpig,ID,-0.88,131.25,82.79599999999999,81,76,1.58
ballina,JP,35.73,140.83,55.56200000000007,55,20,7.7
calhoun,CN,34.57,105.89,50.10799999999995,49,4,1.74
mitsamiouli,AI,18.22,-63.06,80.54599999999999,78,40,3.6
bitung,SZ,-27.31,31.89,73.39999999999992,88,87,0.5
balingasay,ID,-0.32,102.35,75.81200000000007,95,100,0.38
lethem,UZ,39.26,65.15,60.15199999999999,47,90,2.61
ostrovnoy,ID,-8.51,115.27,84.19999999999999,89,20,1.0
tokur,FR,43.4,4.98,52.41199999999998,76,100,1.5
doha,GW,11.28,-15.83,79.62799999999999,72,50,5.74
vizinga,AR,-31.63,-60.7,60.60200000000003,83,29,0.89
marsh harbour,ID,-4.94,122.53,82.00399999999996,77,87,1.02
nara,ID,-8.12,111.89,78.512,76,68,0.78
makakilo city,PH,11.0,122.67,82.61599999999993,70,0,0.8
tromso,BY,52.63,29.73,42.74599999999998,69,99,6.1
dekar,CU,20.04,-77.58,80.22200000000004,80,15,4.77
attawapiskat,CV,17.15,-25.02,71.59999999999997,73,40,8.7
dalvik,AO,-6.13,12.37,79.82600000000008,86,93,1.81
iskateley,PH,14.35,121.02,86.36000000000007,62,75,2.6
sibolga,RU,64.92,77.78,28.994000000000028,93,100,2.74
nishihara,IN,27.05,79.92,82.94,23,31,1.73
karratha,LY,32.53,20.58,62.54599999999999,44,1,3.19
kieta,US,39.15,-123.21,67.76600000000002,28,1,2.6
monrovia,US,21.44,-157.84,79.95200000000006,69,75,5.1
yaan,PT,42.03,-8.16,48.64999999999998,93,33,2.1
huambo,BR,-32.03,-52.1,69.00799999999998,86,100,0.45
